Sang,16/12/1992,male,123456789,987654321,abc123@abc.com,Vip,Da Nang
Hau,17/10/1995,female,123456790,098765431,leduchau12@gmail.com,Normal,Ha Noi
Hau,17/10/1997,male,123456790,098765431,leduchau123@gmail.com,Vip,Ha Noi
Sang,17/02/1999,male,123456789,987654321,sangle172@abc.com,Vip,Sai Gon
Tai,14/10/1996,male,321465789,987654321,taile172@abc.com,Gold,Hue
Joan,10/05/1992,male,987654112,206672451,joan173@abc.com,Vip,Spanish
Ty,17/02/1989,male,123456789,987654321,ty199@abc.com,Vip,American
Take,18/09/1971,male,945121275,978556544,take172@abc.com,Normal,Japan
Thong,15/11/1988,male,260027432,94516617,thongle166@abc.com,Vip,Da Nang
Hello World,17/02/1992,male,90909090,999999999,leducsang123@gmail.com,Good,Span
Dong,19/02/1992,female,206666666,987655644,tranhonggiadong19@gmail.com,Normal,Le Loi
Nguyen Van A,29/01/1992,male,123456654,999999999,abc1232@gmail.com,Normal,Da Lat
